trip_id, start_time, end_time, headway_secs, exact_times
01210A, 06:00:00, 06:20:00, 1200, 0
01210A, 06:20:00, 07:10:00, 1500, 0
01210A, 07:10:00, 09:10:00, 1200, 0
01210A, 09:10:00, 17:30:00, 1500, 0
01210A, 17:30:00, 18:50:00, 1200, 0
01210A, 18:50:00, 20:30:00, 1500, 0
01210A, 20:30:00, 21:30:00, 600, 0
01210A, 21:30:00, 23:50:00, 1200, 0
01210B, 06:30:00, 07:10:00, 2400, 0
01210B, 07:10:00, 08:10:00, 1800, 0
01210B, 08:10:00, 09:20:00, 4200, 0
01210B, 09:20:00, 10:10:00, 3000, 0
01210B, 10:10:00, 11:10:00, 1800, 0
01210B, 11:10:00, 11:35:00, 1500, 0
01210B, 11:30:00, 12:25:00, 3000, 0
01210B, 12:25:00, 12:50:00, 1500, 0
01210B, 12:50:00, 13:20:00, 1800, 0
01210B, 13:20:00, 13:45:00, 1500, 0
01210B, 13:45:00, 14:35:00, 3000, 0
01210B, 14:35:00, 15:00:00, 1500, 0
01210B, 15:00:00, 16:00:00, 1800, 0
01210B, 16:00:00, 16:50:00, 3000, 0
01210B, 16:50:00, 19:10:00, 1800, 0
01210B, 19:10:00, 19:55:00, 2700, 0
01210B, 19:55:00, 20:30:00, 2100, 0
01210B, 20:30:00, 21:00:00, 1800, 0
01210B, 21:00:00, 21:20:00, 1200, 0
01210B, 21:20:00, 21:50:00, 1800, 0
01210B, 21:50:00, 22:25:00, 2100, 0
01210B, 22:25:00, 22:55:00, 1800, 0
01210B, 22:55:00, 23:30:00, 2100, 0
01210C, 06:20:00, 08:00:00, 3000, 0
01210C, 08:00:00, 09:20:00, 2400, 0
01210C, 09:20:00, 10:50:00, 5400, 0
01210C, 10:50:00, 12:10:00, 2400, 0
01210C, 12:10:00, 13:20:00, 4200, 0
01210C, 13:20:00, 13:50:00, 1800, 0
01210C, 13:50:00, 14:30:00, 2400, 0
01210C, 14:30:00, 16:00:00, 5400, 0
01210C, 16:00:00, 16:40:00, 1200, 0
01210C, 16:40:00, 18:25:00, 6300, 0
01210C, 18:25:00, 19:00:00, 2100, 0
01210C, 19:00:00, 19:50:00, 3000, 0
01210C, 19:50:00, 21:10:00, 4800, 0
01210C, 21:10:00, 21:40:00, 1800, 0
01210C, 21:40:00, 22:00:00, 1200, 0
01210C, 22:00:00, 22:40:00, 2400, 0
01211A, 06:00:00, 06:20:00, 1200, 0
01211A, 06:20:00, 07:10:00, 1500, 0
01211A, 07:10:00, 09:10:00, 1200, 0
01211A, 09:10:00, 17:30:00, 1500, 0
01211A, 17:30:00, 18:50:00, 1200, 0
01211A, 18:50:00, 20:30:00, 1500, 0
01211A, 20:30:00, 21:30:00, 600, 0
01211A, 21:30:00, 23:50:00, 1200, 0
01211B, 06:30:00, 07:10:00, 2400, 0
01211B, 07:10:00, 08:10:00, 1800, 0
01211B, 08:10:00, 09:20:00, 4200, 0
01211B, 09:20:00, 10:10:00, 3000, 0
01211B, 10:10:00, 11:10:00, 1800, 0
01211B, 11:10:00, 11:35:00, 1500, 0
01211B, 11:30:00, 12:25:00, 3000, 0
01211B, 12:25:00, 12:50:00, 1500, 0
01211B, 12:50:00, 13:20:00, 1800, 0
01211B, 13:20:00, 13:45:00, 1500, 0
01211B, 13:45:00, 14:35:00, 3000, 0
01211B, 14:35:00, 15:00:00, 1500, 0
01211B, 15:00:00, 16:00:00, 1800, 0
01211B, 16:00:00, 16:50:00, 3000, 0
01211B, 16:50:00, 19:10:00, 1800, 0
01211B, 19:10:00, 19:55:00, 2700, 0
01211B, 19:55:00, 20:30:00, 2100, 0
01211B, 20:30:00, 21:00:00, 1800, 0
01211B, 21:00:00, 21:20:00, 1200, 0
01211B, 21:20:00, 21:50:00, 1800, 0
01211B, 21:50:00, 22:25:00, 2100, 0
01211B, 22:25:00, 22:55:00, 1800, 0
01211B, 22:55:00, 23:30:00, 2100, 0
01211C, 06:20:00, 08:00:00, 3000, 0
01211C, 08:00:00, 09:20:00, 2400, 0
01211C, 09:20:00, 10:50:00, 5400, 0
01211C, 10:50:00, 12:10:00, 2400, 0
01211C, 12:10:00, 13:20:00, 4200, 0
01211C, 13:20:00, 13:50:00, 1800, 0
01211C, 13:50:00, 14:30:00, 2400, 0
01211C, 14:30:00, 16:00:00, 5400, 0
01211C, 16:00:00, 16:40:00, 1200, 0
01211C, 16:40:00, 18:25:00, 6300, 0
01211C, 18:25:00, 19:00:00, 2100, 0
01211C, 19:00:00, 19:50:00, 3000, 0
01211C, 19:50:00, 21:10:00, 4800, 0
01211C, 21:10:00, 21:40:00, 1800, 0
01211C, 21:40:00, 22:00:00, 1200, 0
01211C, 22:00:00, 22:40:00, 2400, 0
