stop_id, stop_code, stop_name, stop_desc, stop_lon, stop_lat, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
"329", "1000", "Av  Vitória", "Em frente a lanchonete Palhoça", "-20.3143262382316", "-40.3218542548977", , , 0, , ,
"331", "1001", "Av  Vitória", "Em frente ao Salesiano nº 950", "-20.3167272631975", "-40.3236428867957", , , 0, , ,
"330", "1002", "Av  Vitória", "Em frente a antiga Grafitusa", "-20.3166561863155", "-40.3238880086527", , , 0, , ,
"33", "1003", "Rua Henrique Novaes", "Núcleo de Prática Jurídica/ Curso de Direito CESV", "-20.3185115765988", "-40.329649980858", , , 0, , , 
"41", "1004", "Av  Jerônimo Monteiro", "Em frente a Escadaria Djanira Lima.", "-20.3195116972981", "-40.3329571587172", , , 0, , ,
"48", "1005", "Av  Jerônimo Monteiro", "Praça Oito.", "-20.3212227372117", "-40.337479136827", , , 0, , ,
"26", "1006", "Av  República", "Ed. Normalista nº 136. Em frente ao Museu do Negro.", "-20.3208334941698", "-40.3412632771367", , , 0, , ,
"658", "1007", "Rua Padre José De Anchieta", "Galeria São Luís nº 110. Atrás do Parque Moscoso.", "-20.3184059321987", "-40.3415927351335", , , 0, , ,
"815", "1008", "Av  Duarte Lemos", "Banco BMG", "-20.3193903399145", "-40.3465378177182", , , 0, , ,
"32", "1009", "Avn Elias Miguel", "Galpões da Codesa", "-20.3212234943936", "-40.3465662460591", , , 0, , ,
"982", "1010", "Av  Marechal Mascarenhas De Moraes", "Na praça Getúlio Vargas.", "-20.3208317783374", "-40.3306483903298", , , 0, , ,
"50", "1011", "Av  Getúlio Vargas", "Em frente ao Palacio Anchieta", "-20.3222043976501", "-40.3396023914684", , , 0, , ,
"47", "1012", "Av  Governador Bley", "Praça  Francisco Teixeira da Cruz", "-20.3214793502918", "-40.3363237456284", , , 0, , ,
"58", "1013", "Av  Jerônimo Monteiro", "Armarinho Thais nº 871", "-20.3189199143115", "-40.3313641351766", , , 0, , ,
"55", "1014", "Av  Princesa Isabel", "Próximo a esquina com a Rua Dr. Arisitides Campos.", "-20.3198049509492", "-40.3306948994015", , , 0, , ,
"38", "1016", "Av  Princesa Isabel", "Pç. Getúlio Vargas", "-20.31987272671", "-40.3311401901869", , , 0, , ,
"25", "1017", "Rua General Osório", "Loja Girus", "-20.3204572868442", "-40.3402896813994", , , 0, , ,
